player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-1972-3515,SHUG,19.86,14,9,0,0,0
SV-1972-3935,MI38,19.71,64,13,1,0,0
SV-1974-2436,ESTO,20.49,6,34,15,0,0
SV-1976-7419,S.     S,20.00,38,28,1,0,0
SV-1977-5287,WAHHO-I!,20.02,60,48,2,0,0
SV-1978-6879,GGGGGGGG,20.24,3,53,12,0,0
SV-1984-4237,KOBAKA,20.16
SV-1986-1835,TANASHUN,19.72,3,1,0,0,0
SV-1989-7871,ECOG59,20.01,61,8,4,0,0
SV-2002-1456,VOLTEX,20.58,72,226,59,1,0
SV-2017-4651,2CHINPO,20.06,366,220,5,0,0
SV-2025-0748,F.ANGEL,20.61,126,208,90,1,0
SV-2031-6975,C.HEESE*,20.58
SV-2034-6585,KANAYOBA,20.38,6,15,11,1,0
SV-2037-7777,X.BRAHMS,20.18,45,110,11,0,0
SV-2058-5467,FB.82TEX,19.84
SV-2093-3759,ASUMOMSP,19.81,60,13,0,0,0
SV-2094-0626,48NELILY,19.69
SV-2099-6024,RIO*,19.46,3,0,0,0,0
SV-2101-0857,ONANIKUN,19.85,20,21,2,0,0
SV-2134-0991,.CH,19.91
SV-2167-5430,XECERIA*,19.75,1,1,0,0,0
SV-2168-6763,LULLABY,20.11,1,0,0,0,0
SV-2169-3868,HI-BOXYA,20.27,90,147,19,1,0
SV-2177-8834,MUNAKI,19.80,17,13,1,0,0
SV-2180-8444,FREAKY.,19.75
SV-2183-2909,YKMKOUME,20.29,4,44,8,0,0
SV-2185-0227,XR.H4NU,19.81,0,1,0,0,0
SV-2213-4434,YUTA.S,20.00,0,0,0,0,0
SV-2216-4184,SONG,19.90,10,9,0,0,0
SV-2216-5325,GILL,20.42,80,177,26,1,0
SV-2221-8539,MERU*HK,20.71,3,52,48,4,0
SV-2237-5878,IW-IKUMI,21.01,214,338,191,21,0
SV-2247-3717,H*MGR-G6,20.02,14,21,4,0,0
SV-2250-5490,SCHERZO2,20.12
SV-2250-7331,GASERI,20.01,20,7,0,0,0
SV-2290-3692,TAKUYA,20.06,334,87,2,0,0
SV-2295-7046,F.PODA,20.02,96,66,3,0,0
SV-2296-1351,WM*OZA,20.22,41,77,8,0,0
SV-2303-5145,HINATA.H,21.35,389,420,272,33,1
SV-2305-3884,-,19.86
SV-2306-0751,DRAGO,19.72,13,1,0,0,0
SV-2306-7758,CCC89991,20.06,4,12,1,0,0
SV-2314-6718,L.SIDE,20.23,7,9,0,0,0
SV-2317-0322,CF. LGH,19.89,14,9,1,0,0
SV-2341-9634,GGD,21.77,155,210,148,47,9
SV-2351-4470,D,20.22,37,45,10,0,0
SV-2359-8435,GUMAE.,20.01,3,1,0,0,0
SV-2376-0639,FALL,20.61,255,267,92,3,0
SV-2398-2063,PRIM,19.97,16,15,2,0,0
SV-2401-6979,DT-FS,19.83
SV-2407-7480,2R.U*KOU,19.89,2,0,0,0,0
SV-2418-6610,MAU,20.25,77,147,8,0,0
SV-2436-6552,CHRONO,20.00,18,31,0,0,0
SV-2451-2600,MAGIRECO,20.66
SV-2476-2913,SHI.YU.,19.64
SV-2490-3536,MORGEN,20.01
SV-2498-3336,CHU*4ZU9,20.06,25,10,0,0,0
SV-2500-5078,B-FORCE.,20.15,7,7,3,0,0
SV-2508-1175,OA*FILKB,20.01
SV-2514-6401,FM,20.50,119,79,19,0,0
SV-2517-9315,X. LEO L,20.06,137,68,6,0,0
SV-2518-0015,GIORNO.G,20.11,278,105,8,0,0
SV-2541-2310,N#9,20.05,43,27,1,0,0
SV-2561-9860,F. REZI7,20.44,351,328,22,0,0
SV-2574-0442,CLOCK.,19.69,174,53,3,0,0
SV-2577-5057,Y2G*MTS,20.56
SV-2581-8541,DEV.NYIP,20.37,23,39,22,0,0
SV-2583-6041,428?!,11.79,0,0,0,0,0
SV-2601-6382,PERONA#,20.23,354,204,13,0,0
SV-2613-8385,KIR10,19.76
