musicname,artistname,diff,difficult,level,puc_count
It's over,ゆよゆっぺ feat.めらみぽっぷ,EXH,2,12,27
It's over,ゆよゆっぺ feat.めらみぽっぷ,INF,4,13,26
ALBIDA Powerless Mix,無力P,NOV,0,5,11
ALBIDA Powerless Mix,無力P,ADV,1,10,9
ALBIDA Powerless Mix,無力P,EXH,2,13,65
ALBIDA Powerless Mix,無力P,INF,4,17,9
RED ZONE NeoClassical Party Remix,幽閉カタルシス,NOV,0,4,11
RED ZONE NeoClassical Party Remix,幽閉カタルシス,ADV,1,11,4
RED ZONE NeoClassical Party Remix,幽閉カタルシス,EXH,2,14,24
冥 Rockin' SWING REMIX,164,NOV,0,6,7
冥 Rockin' SWING REMIX,164,ADV,1,13,6
冥 Rockin' SWING REMIX,164,EXH,2,16,10
冥 Rockin' SWING REMIX,164,INF,4,18,5
遠く Dexholic Mix,Dixie Flatline feat.祭屋,NOV,0,2,16
遠く Dexholic Mix,Dixie Flatline feat.祭屋,ADV,1,6,11
遠く Dexholic Mix,Dixie Flatline feat.祭屋,EXH,2,11,32
Diamond Dust Black Diamond Dust,azuma,NOV,0,4,7
Diamond Dust Black Diamond Dust,azuma,ADV,1,8,5
Diamond Dust Black Diamond Dust,azuma,EXH,2,12,14
Xepher Light and Darkness Dragon REMIX,デッドボールP,NOV,0,5,8
Xepher Light and Darkness Dragon REMIX,デッドボールP,ADV,1,9,9
Xepher Light and Darkness Dragon REMIX,デッドボールP,EXH,2,16,30
Xepher Light and Darkness Dragon REMIX,デッドボールP,GRV,5,18,7
Second Heaven Lamaze-REMIX,ラマーズP,NOV,0,3,9
Second Heaven Lamaze-REMIX,ラマーズP,ADV,1,8,10
Second Heaven Lamaze-REMIX,ラマーズP,EXH,2,13,8
サイコパスコミュニケーション,ゆちゃP,NOV,0,4,8
サイコパスコミュニケーション,ゆちゃP,ADV,1,7,10
サイコパスコミュニケーション,ゆちゃP,EXH,2,10,29
サイコパスコミュニケーション,ゆちゃP,INF,4,13,31
Vampire Killer scar-ed Pf rmx,fu_mou,NOV,0,2,19
Vampire Killer scar-ed Pf rmx,fu_mou,ADV,1,6,8
Vampire Killer scar-ed Pf rmx,fu_mou,EXH,2,12,22
U&M,emon,NOV,0,2,18
U&M,emon,ADV,1,5,13
U&M,emon,EXH,2,8,98
ヤサイマシ☆ニンニクアブラオオメ,azuma feat. ななひら,NOV,0,4,8
ヤサイマシ☆ニンニクアブラオオメ,azuma feat. ななひら,ADV,1,8,5
ヤサイマシ☆ニンニクアブラオオメ,azuma feat. ななひら,EXH,2,13,48
ヤサイマシ☆ニンニクアブラオオメ,azuma feat. ななひら,INF,4,16,61
FLOWER REDALiCE Remix,REDALiCE,NOV,0,6,7
FLOWER REDALiCE Remix,REDALiCE,ADV,1,11,7
FLOWER REDALiCE Remix,REDALiCE,EXH,2,16,6
FLOWER REDALiCE Remix,REDALiCE,INF,4,18,4
不思議玩具ガンガラディンドン,マチゲリータ,NOV,0,5,5
不思議玩具ガンガラディンドン,マチゲリータ,ADV,1,8,5
不思議玩具ガンガラディンドン,マチゲリータ,EXH,2,14,23
wound,KEENO,NOV,0,3,4
wound,KEENO,ADV,1,8,5
wound,KEENO,EXH,2,11,37
neu BSP style,cosMo＠暴走P,NOV,0,4,2
neu BSP style,cosMo＠暴走P,ADV,1,9,8
neu BSP style,cosMo＠暴走P,EXH,2,16,14
TYCOON,SOUND HOLIC feat. Nana Takahashi,NOV,0,5,6
TYCOON,SOUND HOLIC feat. Nana Takahashi,ADV,1,10,12
TYCOON,SOUND HOLIC feat. Nana Takahashi,EXH,2,15,46
TYCOON,SOUND HOLIC feat. Nana Takahashi,INF,4,17,13
世界はネコのもの,Nem,NOV,0,2,19
世界はネコのもの,Nem,ADV,1,6,16
世界はネコのもの,Nem,EXH,2,12,47
cloud,EZFG,NOV,0,4,8
cloud,EZFG,ADV,1,8,16
cloud,EZFG,EXH,2,12,45
cloud,EZFG,HVN,6,17,7
RPGシンドローム,幽閉カタルシス,NOV,0,5,6
RPGシンドローム,幽閉カタルシス,ADV,1,10,11
RPGシンドローム,幽閉カタルシス,EXH,2,13,28
春色ポートレート(EXIT TUNES),しゃむおん,NOV,0,1,26
春色ポートレート(EXIT TUNES),しゃむおん,ADV,1,4,17
春色ポートレート(EXIT TUNES),しゃむおん,EXH,2,7,52
ソラヘドライブ(EXIT TUNES),ぐるたみん,NOV,0,3,8
ソラヘドライブ(EXIT TUNES),ぐるたみん,ADV,1,8,9
ソラヘドライブ(EXIT TUNES),ぐるたみん,EXH,2,12,20
