musicname,artistname,diff,difficult,level,puc_count
Double Universe,Hommarju vs P*Light,EXH,2,16,28
Double Universe,Hommarju vs P*Light,GRV,5,17,2
XROSS INFECTION,BlackY vs. Yooh,NOV,0,6,9
XROSS INFECTION,BlackY vs. Yooh,ADV,1,13,22
XROSS INFECTION,BlackY vs. Yooh,EXH,2,17,6
XROSS INFECTION,BlackY vs. Yooh,GRV,5,19,5
Crack Traxxxx,Lite Show Magic (t+pazolite vs C-Show),NOV,0,6,11
Crack Traxxxx,Lite Show Magic (t+pazolite vs C-Show),ADV,1,11,9
Crack Traxxxx,Lite Show Magic (t+pazolite vs C-Show),EXH,2,16,13
Crack Traxxxx,Lite Show Magic (t+pazolite vs C-Show),GRV,5,18,4
INFINITY OVERDRIVE,DecisionS(kanone + nora2r),NOV,0,5,14
INFINITY OVERDRIVE,DecisionS(kanone + nora2r),ADV,1,11,3
INFINITY OVERDRIVE,DecisionS(kanone + nora2r),EXH,2,15,36
INFINITY OVERDRIVE,DecisionS(kanone + nora2r),GRV,5,17,11
Hail Storm,FELT,NOV,0,2,16
Hail Storm,FELT,ADV,1,7,11
Hail Storm,FELT,EXH,2,12,53
Shiny Up!,C-CLAYS,NOV,0,2,18
Shiny Up!,C-CLAYS,ADV,1,7,9
Shiny Up!,C-CLAYS,EXH,2,12,28
最終鬼畜妹フランドール・S,ビートまりお（COOL&CREATE）,NOV,0,5,12
最終鬼畜妹フランドール・S,ビートまりお（COOL&CREATE）,ADV,1,12,13
最終鬼畜妹フランドール・S,ビートまりお（COOL&CREATE）,EXH,2,16,13
最終鬼畜妹フランドール・S,ビートまりお（COOL&CREATE）,GRV,5,18,11
ワヴル魔法図書館,wobble magic library,NOV,0,5,6
ワヴル魔法図書館,wobble magic library,ADV,1,10,4
ワヴル魔法図書館,wobble magic library,EXH,2,15,10
夢の空、約束の場所,Illusion Sonic,NOV,0,2,20
夢の空、約束の場所,Illusion Sonic,ADV,1,7,12
夢の空、約束の場所,Illusion Sonic,EXH,2,11,45
マネマネサイコトロピック(EXIT TUNES),かいりきベア,NOV,0,4,11
マネマネサイコトロピック(EXIT TUNES),かいりきベア,ADV,1,9,7
マネマネサイコトロピック(EXIT TUNES),かいりきベア,EXH,2,14,26
放課後ストライド(EXIT TUNES),Last Note.,NOV,0,4,8
放課後ストライド(EXIT TUNES),Last Note.,ADV,1,11,6
放課後ストライド(EXIT TUNES),Last Note.,EXH,2,16,28
放課後ストライド(EXIT TUNES),Last Note.,HVN,6,17,11
Catadioptric,Jerico,NOV,0,3,9
Catadioptric,Jerico,ADV,1,7,10
Catadioptric,Jerico,EXH,2,13,31
Indomitable Spirit,Tracy feat.ほたる,NOV,0,3,16
Indomitable Spirit,Tracy feat.ほたる,ADV,1,8,8
Indomitable Spirit,Tracy feat.ほたる,EXH,2,13,27
赤より紅い夢-Aya2g Tech Dance Remix-,Ayatsugu_Otowa,NOV,0,4,21
赤より紅い夢-Aya2g Tech Dance Remix-,Ayatsugu_Otowa,ADV,1,9,8
赤より紅い夢-Aya2g Tech Dance Remix-,Ayatsugu_Otowa,EXH,2,16,8
LEMON SUMMER,パイタン,NOV,0,4,10
LEMON SUMMER,パイタン,ADV,1,10,10
LEMON SUMMER,パイタン,EXH,2,15,37
Rings of Rainbow,Hommarju,NOV,0,5,6
Rings of Rainbow,Hommarju,ADV,1,10,8
Rings of Rainbow,Hommarju,EXH,2,15,100
Paradoxy,lapix,NOV,0,4,10
Paradoxy,lapix,ADV,1,9,7
Paradoxy,lapix,EXH,2,15,11
BUBBLE RAVER,P*Light,NOV,0,4,10
BUBBLE RAVER,P*Light,ADV,1,9,8
BUBBLE RAVER,P*Light,EXH,2,15,17
- dirty rouge -,ぺのれり,NOV,0,5,6
- dirty rouge -,ぺのれり,ADV,1,10,2
- dirty rouge -,ぺのれり,EXH,2,15,12
やばいつよくてあたまいいあたいのうた,Shiron feat. Kuroa*,NOV,0,5,6
やばいつよくてあたまいいあたいのうた,Shiron feat. Kuroa*,ADV,1,10,4
やばいつよくてあたまいいあたいのうた,Shiron feat. Kuroa*,EXH,2,15,13
桜華月想-SDVX EDIT-,源屋 feat. 3L,NOV,0,2,19
桜華月想-SDVX EDIT-,源屋 feat. 3L,ADV,1,8,9
桜華月想-SDVX EDIT-,源屋 feat. 3L,EXH,2,12,45
"Electric ""Sister"" Bitch",t+pazolite,NOV,0,4,14
"Electric ""Sister"" Bitch",t+pazolite,ADV,1,10,4
"Electric ""Sister"" Bitch",t+pazolite,EXH,2,16,58
ゆうしゃのなつやすみ,Verdammt,NOV,0,4,9
ゆうしゃのなつやすみ,Verdammt,ADV,1,9,4
ゆうしゃのなつやすみ,Verdammt,EXH,2,14,17
トラウィスカルパンテクートリ,Noah,NOV,0,5,7
トラウィスカルパンテクートリ,Noah,ADV,1,9,8
トラウィスカルパンテクートリ,Noah,EXH,2,16,6
Demetel,ETIA.,NOV,0,3,6
Demetel,ETIA.,ADV,1,7,9
Demetel,ETIA.,EXH,2,12,23
Shadows in the Light,Sta,NOV,0,3,13
Shadows in the Light,Sta,ADV,1,9,11
Shadows in the Light,Sta,EXH,2,13,21
True Blue,dj TAKA feat.AiMEE,NOV,0,5,8
True Blue,dj TAKA feat.AiMEE,ADV,1,11,4
True Blue,dj TAKA feat.AiMEE,EXH,2,17,9
ルーネイトエルフ(Riz Mix),Riz,NOV,0,3,12
ルーネイトエルフ(Riz Mix),Riz,ADV,1,10,7
ルーネイトエルフ(Riz Mix),Riz,EXH,2,14,25
Devotion,void (Mournfinale),NOV,0,3,9
Devotion,void (Mournfinale),ADV,1,7,9
Devotion,void (Mournfinale),EXH,2,12,28
We Are The Scarlet (SDVX Edit),天音 (Rolling Contact),NOV,0,4,12
We Are The Scarlet (SDVX Edit),天音 (Rolling Contact),ADV,1,10,11
We Are The Scarlet (SDVX Edit),天音 (Rolling Contact),EXH,2,15,12
ムーニャポヨポヨスッポコニャーゴ,全日本スッポコニャーゴ親衛隊,NOV,0,4,14
ムーニャポヨポヨスッポコニャーゴ,全日本スッポコニャーゴ親衛隊,ADV,1,10,7
ムーニャポヨポヨスッポコニャーゴ,全日本スッポコニャーゴ親衛隊,EXH,2,17,6
Dignity,Yooh,NOV,0,6,14
Dignity,Yooh,ADV,1,11,15
Dignity,Yooh,EXH,2,16,28
Decretum,Project Mayhem,NOV,0,5,6
Decretum,Project Mayhem,ADV,1,11,3
Decretum,Project Mayhem,EXH,2,17,2
タイムマシン(EXIT TUNES),1640mP,NOV,0,2,21
タイムマシン(EXIT TUNES),1640mP,ADV,1,8,7
タイムマシン(EXIT TUNES),1640mP,EXH,2,13,14
shiningray(EXIT TUNES),164 feat.GUMI,NOV,0,1,28
shiningray(EXIT TUNES),164 feat.GUMI,ADV,1,8,5
shiningray(EXIT TUNES),164 feat.GUMI,EXH,2,13,17
クノイチでも恋がしたい(EXIT TUNES),みきとP feat. 松下,NOV,0,5,8
クノイチでも恋がしたい(EXIT TUNES),みきとP feat. 松下,ADV,1,10,4
クノイチでも恋がしたい(EXIT TUNES),みきとP feat. 松下,EXH,2,16,21
Last Battalion,ETIA.,NOV,0,4,8
Last Battalion,ETIA.,ADV,1,10,4
Last Battalion,ETIA.,EXH,2,15,9
Last Battalion,ETIA.,GRV,5,17,28
TrailBlazer,cold kiss,NOV,0,3,8
TrailBlazer,cold kiss,ADV,1,9,9
TrailBlazer,cold kiss,EXH,2,13,64
TrailBlazer,cold kiss,GRV,5,16,39
take a step forward,uma,NOV,0,3,9
take a step forward,uma,ADV,1,10,9
take a step forward,uma,EXH,2,15,11
take a step forward,uma,HVN,6,17,4
choux à la crème,kamome sano,NOV,0,5,8
choux à la crème,kamome sano,ADV,1,11,6
choux à la crème,kamome sano,EXH,2,16,18
choux à la crème,kamome sano,GRV,5,17,25
Erlung,削除,NOV,0,4,9
Erlung,削除,ADV,1,10,4
Erlung,削除,EXH,2,14,21
Erlung,削除,GRV,5,17,9
マインド・ゲーム,96 with メカショッチョー,NOV,0,4,11
マインド・ゲーム,96 with メカショッチョー,ADV,1,9,7
マインド・ゲーム,96 with メカショッチョー,EXH,2,14,13
PUNISHER,TAG×PON,NOV,0,4,9
PUNISHER,TAG×PON,ADV,1,10,8
PUNISHER,TAG×PON,EXH,2,16,36
HYENA,Hommarju,NOV,0,5,6
HYENA,Hommarju,ADV,1,12,11
HYENA,Hommarju,EXH,2,17,3
Stella Sinistra,Akhuta Philharmonic Orchestra,NOV,0,5,7
Stella Sinistra,Akhuta Philharmonic Orchestra,ADV,1,11,3
Stella Sinistra,Akhuta Philharmonic Orchestra,EXH,2,16,3
Last Concerto,ke-ji,NOV,0,6,8
Last Concerto,ke-ji,ADV,1,12,4
Last Concerto,ke-ji,EXH,2,17,0
Last Concerto,ke-ji,GRV,5,18,0
Hellfire,Hommarju,NOV,0,6,8
Hellfire,Hommarju,ADV,1,12,4
Hellfire,Hommarju,EXH,2,17,22
Hellfire,Hommarju,GRV,5,18,2
BLACK or WHITE?,BlackYooh vs. siromaru,NOV,0,6,9
BLACK or WHITE?,BlackYooh vs. siromaru,ADV,1,12,12
BLACK or WHITE?,BlackYooh vs. siromaru,EXH,2,18,7
BLACK or WHITE?,BlackYooh vs. siromaru,GRV,5,19,8
For UltraPlayers,cosMo＠暴走P,NOV,0,7,19
For UltraPlayers,cosMo＠暴走P,ADV,1,13,9
For UltraPlayers,cosMo＠暴走P,EXH,2,18,2
For UltraPlayers,cosMo＠暴走P,HVN,6,19,0
Bangin' Burst,かめりあ,NOV,0,6,8
Bangin' Burst,かめりあ,ADV,1,13,9
Bangin' Burst,かめりあ,EXH,2,18,6
Bangin' Burst,かめりあ,GRV,5,19,2
超越してしまった彼女と其を生み落した理由,Ayatsugu_Otowa,NOV,0,6,10
超越してしまった彼女と其を生み落した理由,Ayatsugu_Otowa,ADV,1,12,4
超越してしまった彼女と其を生み落した理由,Ayatsugu_Otowa,EXH,2,17,7
超越してしまった彼女と其を生み落した理由,Ayatsugu_Otowa,HVN,6,18,0
Lunatic Rough Party!!,かめりあ,NOV,0,4,10
Lunatic Rough Party!!,かめりあ,ADV,1,10,3
Lunatic Rough Party!!,かめりあ,EXH,2,15,6
U.N.オーエンは彼女なのか？haru_naba Remix,はるなば,NOV,0,5,8
U.N.オーエンは彼女なのか？haru_naba Remix,はるなば,ADV,1,11,3
U.N.オーエンは彼女なのか？haru_naba Remix,はるなば,EXH,2,17,5
上海紅茶館 ～ Chinese Tea Orchid Remix,Yooh,NOV,0,5,6
上海紅茶館 ～ Chinese Tea Orchid Remix,Yooh,ADV,1,10,8
上海紅茶館 ～ Chinese Tea Orchid Remix,Yooh,EXH,2,16,70
おお われら喜び讃うべし、主よ,すのうまん,NOV,0,4,9
おお われら喜び讃うべし、主よ,すのうまん,ADV,1,10,7
おお われら喜び讃うべし、主よ,すのうまん,EXH,2,16,56
雪女,かねこちはる,NOV,0,5,11
雪女,かねこちはる,ADV,1,12,15
雪女,かねこちはる,EXH,2,16,25
雪女,かねこちはる,GRV,5,17,2
Profession,syzfonics,NOV,0,3,30
Profession,syzfonics,ADV,1,12,12
Profession,syzfonics,EXH,2,16,52
will o' the wisp,XIzE,NOV,0,4,10
will o' the wisp,XIzE,ADV,1,10,6
will o' the wisp,XIzE,EXH,2,13,16
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,日本楽音ノイズ協会,NOV,0,4,11
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,日本楽音ノイズ協会,ADV,1,10,5
イゴモヨス＝オムルのテーマによるブヨブヨ・スケッチの試み,日本楽音ノイズ協会,EXH,2,17,15
LittleGameStar,An,NOV,0,3,9
LittleGameStar,An,ADV,1,10,6
LittleGameStar,An,EXH,2,15,17
LittleGameStar,An,GRV,5,17,17
野球の遊び方　そしてその歴史　～決定版～,あさき大監督,NOV,0,3,6
野球の遊び方　そしてその歴史　～決定版～,あさき大監督,ADV,1,11,4
野球の遊び方　そしてその歴史　～決定版～,あさき大監督,EXH,2,13,11
Verse IV,ZOGRAPHOS (Yu_Asahina+Yamajet),NOV,0,5,3
Verse IV,ZOGRAPHOS (Yu_Asahina+Yamajet),ADV,1,12,3
Verse IV,ZOGRAPHOS (Yu_Asahina+Yamajet),EXH,2,17,2
Verse IV,ZOGRAPHOS (Yu_Asahina+Yamajet),HVN,6,19,2
轟け！恋のビーンボール！！,ダイナミック野球兄弟 v.s. クロスファイヤーPrim,NOV,0,5,8
轟け！恋のビーンボール！！,ダイナミック野球兄弟 v.s. クロスファイヤーPrim,ADV,1,11,2
轟け！恋のビーンボール！！,ダイナミック野球兄弟 v.s. クロスファイヤーPrim,EXH,2,17,30
デッドボヲルdeホームラン,猫叉Masterβ2,NOV,0,3,11
デッドボヲルdeホームラン,猫叉Masterβ2,ADV,1,9,9
デッドボヲルdeホームラン,猫叉Masterβ2,EXH,2,15,16
Squeeze,VENUS feat. Mutsuhiko Izumi,NOV,0,5,9
Squeeze,VENUS feat. Mutsuhiko Izumi,ADV,1,12,13
Squeeze,VENUS feat. Mutsuhiko Izumi,EXH,2,16,29
Engraved Mark,Ryu☆ ∞ Des-ROW,NOV,0,5,11
Engraved Mark,Ryu☆ ∞ Des-ROW,ADV,1,11,1
Engraved Mark,Ryu☆ ∞ Des-ROW,EXH,2,16,12
EOS -INFINITE EDIT-,ginkiha,NOV,0,3,12
EOS -INFINITE EDIT-,ginkiha,ADV,1,11,7
EOS -INFINITE EDIT-,ginkiha,EXH,2,13,43
EOS -INFINITE EDIT-,ginkiha,GRV,5,16,38
ウバワレ,TAKU1175,NOV,0,4,9
ウバワレ,TAKU1175,ADV,1,10,7
ウバワレ,TAKU1175,EXH,2,16,64
ウバワレ,TAKU1175,GRV,5,17,9
Future MUSiC,Ym1024 feat. lamie*,NOV,0,2,17
Future MUSiC,Ym1024 feat. lamie*,ADV,1,7,10
Future MUSiC,Ym1024 feat. lamie*,EXH,2,12,36
IX,dj TAKA VS DJ TOTTO feat.藍,NOV,0,6,8
IX,dj TAKA VS DJ TOTTO feat.藍,ADV,1,12,8
IX,dj TAKA VS DJ TOTTO feat.藍,EXH,2,17,11
snow motion,こふ,NOV,0,4,11
snow motion,こふ,ADV,1,8,12
snow motion,こふ,EXH,2,13,20
"コンベア速度Max!? しゃいにん☆廻転ズシ""Sushi&Peace""",かめりあ feat. ななひら,NOV,0,5,10
"コンベア速度Max!? しゃいにん☆廻転ズシ""Sushi&Peace""",かめりあ feat. ななひら,ADV,1,11,4
"コンベア速度Max!? しゃいにん☆廻転ズシ""Sushi&Peace""",かめりあ feat. ななひら,EXH,2,16,13
絢爛創世絵巻物,ke-ji,NOV,0,3,6
絢爛創世絵巻物,ke-ji,ADV,1,8,4
絢爛創世絵巻物,ke-ji,EXH,2,13,3
WAVE(EXIT TUNES),niki feat.kradness,NOV,0,3,12
WAVE(EXIT TUNES),niki feat.kradness,ADV,1,11,5
WAVE(EXIT TUNES),niki feat.kradness,EXH,2,15,12
命のユースティティア(EXIT TUNES),Neru,NOV,0,4,10
命のユースティティア(EXIT TUNES),Neru,ADV,1,10,9
命のユースティティア(EXIT TUNES),Neru,EXH,2,13,41
茅蜩モラトリアム(EXIT TUNES),TOTAL OBJECTION feat.GUMI,NOV,0,5,8
茅蜩モラトリアム(EXIT TUNES),TOTAL OBJECTION feat.GUMI,ADV,1,10,8
茅蜩モラトリアム(EXIT TUNES),TOTAL OBJECTION feat.GUMI,EXH,2,16,32
君と僕とその空白と(EXIT TUNES),のぼる↑ feat.GUMI,NOV,0,4,14
君と僕とその空白と(EXIT TUNES),のぼる↑ feat.GUMI,ADV,1,9,7
君と僕とその空白と(EXIT TUNES),のぼる↑ feat.GUMI,EXH,2,13,25
きょうもハレバレ(EXIT TUNES),ふわりP feat. GUMI's,NOV,0,3,10
きょうもハレバレ(EXIT TUNES),ふわりP feat. GUMI's,ADV,1,8,9
きょうもハレバレ(EXIT TUNES),ふわりP feat. GUMI's,EXH,2,12,35
Fiat Lux,xi,NOV,0,5,7
Fiat Lux,xi,ADV,1,11,6
Fiat Lux,xi,EXH,2,17,3
crazy cinema story,黒魔,NOV,0,4,14
crazy cinema story,黒魔,ADV,1,8,6
crazy cinema story,黒魔,EXH,2,16,6
神となり彼が見た境界線,上村香月,NOV,0,5,8
神となり彼が見た境界線,上村香月,ADV,1,10,7
神となり彼が見た境界線,上村香月,EXH,2,15,14
嘘と接吻,yozaquar feat.ぁゅ,NOV,0,3,9
嘘と接吻,yozaquar feat.ぁゅ,ADV,1,9,4
嘘と接吻,yozaquar feat.ぁゅ,EXH,2,13,8
FLYING OUT TO THE SKY,かめりあ,NOV,0,5,8
FLYING OUT TO THE SKY,かめりあ,ADV,1,10,2
FLYING OUT TO THE SKY,かめりあ,EXH,2,17,2
超爽快☆パッショネイト・フィーバー,Ayatsugu_Otowa,NOV,0,5,7
超爽快☆パッショネイト・フィーバー,Ayatsugu_Otowa,ADV,1,10,5
超爽快☆パッショネイト・フィーバー,Ayatsugu_Otowa,EXH,2,16,7
群青硝子のスピカ,unatra / カラクサ,NOV,0,2,15
群青硝子のスピカ,unatra / カラクサ,ADV,1,8,11
群青硝子のスピカ,unatra / カラクサ,EXH,2,15,10
十六夜桜-Zakura-,u-z,NOV,0,3,13
十六夜桜-Zakura-,u-z,ADV,1,9,7
十六夜桜-Zakura-,u-z,EXH,2,13,13
Arcadia,CHRIS (Sound Libero),NOV,0,2,18
Arcadia,CHRIS (Sound Libero),ADV,1,7,9
Arcadia,CHRIS (Sound Libero),EXH,2,12,89
Hoshizora Illumination,you,NOV,0,4,9
Hoshizora Illumination,you,ADV,1,10,8
Hoshizora Illumination,you,EXH,2,16,25
Hoshizora Illumination,you,HVN,6,17,3
Black Emperor,黒魔,NOV,0,6,10
Black Emperor,黒魔,ADV,1,11,6
Black Emperor,黒魔,EXH,2,18,1
Black Emperor,黒魔,GRV,5,19,4
Pure Evil,kors k,NOV,0,5,7
Pure Evil,kors k,ADV,1,12,5
Pure Evil,kors k,EXH,2,17,4
Virtual Sunrise,kors k,NOV,0,4,19
Virtual Sunrise,kors k,ADV,1,10,5
Virtual Sunrise,kors k,EXH,2,15,11
Harpuia,BlackY,NOV,0,6,7
Harpuia,BlackY,ADV,1,11,3
Harpuia,BlackY,EXH,2,17,3
Harpuia,BlackY,HVN,6,18,1
はなむけ,ふる,NOV,0,4,10
はなむけ,ふる,ADV,1,9,7
はなむけ,ふる,EXH,2,13,17
はなむけ,ふる,HVN,6,16,14
odds and ends,MarcheИ,NOV,0,5,9
odds and ends,MarcheИ,ADV,1,9,6
odds and ends,MarcheИ,EXH,2,15,12
odds and ends,MarcheИ,GRV,5,17,13
Liar World Monologue,"Music by ismK, Vocal by Kuroa*",NOV,0,4,9
Liar World Monologue,"Music by ismK, Vocal by Kuroa*",ADV,1,9,11
Liar World Monologue,"Music by ismK, Vocal by Kuroa*",EXH,2,16,24
ぱられる,"Music by akira asano feat.Tia, Vocal by みゅい",NOV,0,3,9
ぱられる,"Music by akira asano feat.Tia, Vocal by みゅい",ADV,1,7,12
ぱられる,"Music by akira asano feat.Tia, Vocal by みゅい",EXH,2,13,21
流れ星と君の歌,"Music by 沙野カモメ, Vocal by SOPHY",NOV,0,4,11
流れ星と君の歌,"Music by 沙野カモメ, Vocal by SOPHY",ADV,1,9,9
流れ星と君の歌,"Music by 沙野カモメ, Vocal by SOPHY",EXH,2,14,39
ボルテ体操第一,Kaoru feat.FG75,NOV,0,1,50
ボルテ体操第一,Kaoru feat.FG75,ADV,1,12,5
ボルテ体操第一,Kaoru feat.FG75,EXH,2,17,52
侵蝕コード：666　-今日ちょっと指（略-,かぼちゃ「黒幕はあやつぐ」と供述しており,NOV,0,4,11
侵蝕コード：666　-今日ちょっと指（略-,かぼちゃ「黒幕はあやつぐ」と供述しており,ADV,1,10,6
侵蝕コード：666　-今日ちょっと指（略-,かぼちゃ「黒幕はあやつぐ」と供述しており,EXH,2,15,6
Innocent Tempest,Diceros Bicornis,NOV,0,6,7
Innocent Tempest,Diceros Bicornis,ADV,1,12,5
Innocent Tempest,Diceros Bicornis,EXH,2,17,29
Innocent Tempest,Diceros Bicornis,VVD,7,19,21
REVERSE LIMITED!(SDVX Edit),MUZIK SERVANT feat.CHERICa,NOV,0,5,7
REVERSE LIMITED!(SDVX Edit),MUZIK SERVANT feat.CHERICa,ADV,1,11,7
REVERSE LIMITED!(SDVX Edit),MUZIK SERVANT feat.CHERICa,EXH,2,16,14
Mist In Hell,LUNA,NOV,0,6,7
Mist In Hell,LUNA,ADV,1,11,9
Mist In Hell,LUNA,EXH,2,17,46
Frantic Wolf,Jerico,NOV,0,4,11
Frantic Wolf,Jerico,ADV,1,10,7
Frantic Wolf,Jerico,EXH,2,14,12
KiLLeR MeRMaiD,QURELESS,NOV,0,6,4
KiLLeR MeRMaiD,QURELESS,ADV,1,12,3
KiLLeR MeRMaiD,QURELESS,EXH,2,17,13
WAVE WAVE WAVE,ZYTOKINE feat. itori,NOV,0,3,17
WAVE WAVE WAVE,ZYTOKINE feat. itori,ADV,1,10,11
WAVE WAVE WAVE,ZYTOKINE feat. itori,EXH,2,13,18
REPLiCA,"Music by Hommarju, Vocal by ぁゅ",NOV,0,3,8
REPLiCA,"Music by Hommarju, Vocal by ぁゅ",ADV,1,8,9
REPLiCA,"Music by Hommarju, Vocal by ぁゅ",EXH,2,13,29
Rebirth(EXIT TUNES),164 feat. GUMI,NOV,0,4,9
Rebirth(EXIT TUNES),164 feat. GUMI,ADV,1,10,7
Rebirth(EXIT TUNES),164 feat. GUMI,EXH,2,13,10
冬に桜が咲くようなキセキ。,"Music by nmk/佐原誠&kei_iwata, Vocal by SOPHY",NOV,0,4,11
冬に桜が咲くようなキセキ。,"Music by nmk/佐原誠&kei_iwata, Vocal by SOPHY",ADV,1,9,5
冬に桜が咲くようなキセキ。,"Music by nmk/佐原誠&kei_iwata, Vocal by SOPHY",EXH,2,15,17
少女暴動(EXIT TUNES),Last Note.,NOV,0,5,10
少女暴動(EXIT TUNES),Last Note.,ADV,1,12,4
少女暴動(EXIT TUNES),Last Note.,EXH,2,17,31
終点(EXIT TUNES),cosMo＠暴走P,NOV,0,5,10
終点(EXIT TUNES),cosMo＠暴走P,ADV,1,11,3
終点(EXIT TUNES),cosMo＠暴走P,EXH,2,16,15
Unlimited Field,"Music by 上村香月, Vocal by Kuroa*",NOV,0,5,9
Unlimited Field,"Music by 上村香月, Vocal by Kuroa*",ADV,1,11,5
Unlimited Field,"Music by 上村香月, Vocal by Kuroa*",EXH,2,15,13
夕立、君と隠れ処,幽閉サテライト (Arranged:Iceon) feat. senya,NOV,0,2,21
夕立、君と隠れ処,幽閉サテライト (Arranged:Iceon) feat. senya,ADV,1,9,12
夕立、君と隠れ処,幽閉サテライト (Arranged:Iceon) feat. senya,EXH,2,13,45
Phantasm Brigade,Silver Forest,NOV,0,2,13
Phantasm Brigade,Silver Forest,ADV,1,8,4
Phantasm Brigade,Silver Forest,EXH,2,13,84
NEXT BILLIONAIRE,SOUND HOLIC feat. Nana Takahashi,NOV,0,4,12
NEXT BILLIONAIRE,SOUND HOLIC feat. Nana Takahashi,ADV,1,10,3
NEXT BILLIONAIRE,SOUND HOLIC feat. Nana Takahashi,EXH,2,15,12
竹取飛翔,岸田教団＆THE明星ロケッツ,NOV,0,3,6
竹取飛翔,岸田教団＆THE明星ロケッツ,ADV,1,9,4
竹取飛翔,岸田教団＆THE明星ロケッツ,EXH,2,15,66
竹取飛翔,岸田教団＆THE明星ロケッツ,HVN,6,17,9
信仰は儚き人間の為に ～ Arr.Demetori,Demetori,NOV,0,5,6
信仰は儚き人間の為に ～ Arr.Demetori,Demetori,ADV,1,11,6
信仰は儚き人間の為に ～ Arr.Demetori,Demetori,EXH,2,17,7
八雲藍の唯心論,君の美術館,NOV,0,3,6
八雲藍の唯心論,君の美術館,ADV,1,9,6
八雲藍の唯心論,君の美術館,EXH,2,14,55
mon$tage,"Music by Hommarju, Vocal by かぼちゃ",NOV,0,5,6
mon$tage,"Music by Hommarju, Vocal by かぼちゃ",ADV,1,11,4
mon$tage,"Music by Hommarju, Vocal by かぼちゃ",EXH,2,16,2
Mami Mami Zone,REDALiCE feat. 野宮あゆみ,NOV,0,4,12
Mami Mami Zone,REDALiCE feat. 野宮あゆみ,ADV,1,10,22
Mami Mami Zone,REDALiCE feat. 野宮あゆみ,EXH,2,16,41
ってゐ！ ～えいえんてゐVer～,石鹸屋,NOV,0,3,7
ってゐ！ ～えいえんてゐVer～,石鹸屋,ADV,1,8,5
ってゐ！ ～えいえんてゐVer～,石鹸屋,EXH,2,12,48
ってゐ！ ～えいえんてゐVer～,石鹸屋,INF,4,15,9
SPARKLING FANTASY,"Music by BlackY, Vocal by ぁゅ",NOV,0,4,9
SPARKLING FANTASY,"Music by BlackY, Vocal by ぁゅ",ADV,1,9,9
SPARKLING FANTASY,"Music by BlackY, Vocal by ぁゅ",EXH,2,13,64
患部で止まってすぐ溶ける ～ 狂気の優曇華院,ARM(IOSYS),NOV,0,5,8
患部で止まってすぐ溶ける ～ 狂気の優曇華院,ARM(IOSYS),ADV,1,10,8
患部で止まってすぐ溶ける ～ 狂気の優曇華院,ARM(IOSYS),EXH,2,15,6
患部で止まってすぐ溶ける ～ 狂気の優曇華院,ARM(IOSYS),INF,4,17,3
カレクレンマ,"Music by アサヒナユウ, Vocal by みかん汁",NOV,0,3,7
カレクレンマ,"Music by アサヒナユウ, Vocal by みかん汁",ADV,1,10,3
カレクレンマ,"Music by アサヒナユウ, Vocal by みかん汁",EXH,2,15,16
Sakura Mirage,Ryu☆,NOV,0,6,6
Sakura Mirage,Ryu☆,ADV,1,12,4
Sakura Mirage,Ryu☆,EXH,2,17,4
Lemures Prelude,EastNewSound,NOV,0,3,8
Lemures Prelude,EastNewSound,ADV,1,9,8
Lemures Prelude,EastNewSound,EXH,2,14,12
マスパでシュッ☆メイドウィッチまりさちゃん,ARM(IOSYS) feat. 桃井はるこ,NOV,0,3,7
マスパでシュッ☆メイドウィッチまりさちゃん,ARM(IOSYS) feat. 桃井はるこ,ADV,1,9,5
マスパでシュッ☆メイドウィッチまりさちゃん,ARM(IOSYS) feat. 桃井はるこ,EXH,2,13,23
#FairyJoke #SDVX_Edit,uno(IOSYS),NOV,0,3,14
#FairyJoke #SDVX_Edit,uno(IOSYS),ADV,1,11,17
#FairyJoke #SDVX_Edit,uno(IOSYS),EXH,2,17,48
ゼンマイ恋時計（T.E.B Summer Mix),A-One,NOV,0,4,9
ゼンマイ恋時計（T.E.B Summer Mix),A-One,ADV,1,11,6
ゼンマイ恋時計（T.E.B Summer Mix),A-One,EXH,2,15,23
SPARKING 2012,IRON ATTACK!,NOV,0,4,9
SPARKING 2012,IRON ATTACK!,ADV,1,10,5
SPARKING 2012,IRON ATTACK!,EXH,2,15,7
Get out of my sight,void(IOSYS) feat. 厚志(石鹸屋)&周平(Silently Shooting Traitors),NOV,0,4,10
Get out of my sight,void(IOSYS) feat. 厚志(石鹸屋)&周平(Silently Shooting Traitors),ADV,1,11,4
Get out of my sight,void(IOSYS) feat. 厚志(石鹸屋)&周平(Silently Shooting Traitors),EXH,2,15,9
Baby Sherry,ぺのれり,NOV,0,5,11
Baby Sherry,ぺのれり,ADV,1,11,5
Baby Sherry,ぺのれり,EXH,2,15,34
バンブーソード・ガール(EXIT TUNES),cosMo＠暴走P,NOV,0,6,4
バンブーソード・ガール(EXIT TUNES),cosMo＠暴走P,ADV,1,12,6
バンブーソード・ガール(EXIT TUNES),cosMo＠暴走P,EXH,2,17,26
バンブーソード・ガール(EXIT TUNES),cosMo＠暴走P,HVN,6,19,0
ドキドキ☆流星トラップガール!!,流星トラップボーイズ,NOV,0,3,12
